id,ISD07,ISD04,ISD05,ISD08,ISD14,ISD28,Reli01,Reli02,Reli03,Reli04,Reli05,Reli06,Reli07,Reli08,Reli09,Reli10,Religiosidad,EAR01,EAR02,EAR03,EAR04,EAR05,EAR06,EAR07,EAR08,EAR09,EAR10,Autoestima,SASS01,SASS02,SASS03,SASS04,SASS05,SASS06,SASS07,SASS08,SASS09,SASS10,SASS11,SASS12,SASS13,SASS14,SASS15,SASS16,SASS17,SASS18,SASS19,SASS20,SASS21,SASS_Total,Estres_Percibido
43,Masculino,Chile,44,44,3. Media incompleta.,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,Masculino,chile,44,44,4. Media completa / TÈcnica incompleta.,No,2,1,2,2,2,2,2,2,2,1,18,3,3,Muy en desacuerdo,4,En desacuerdo,3,4,Muy de acuerdo,En desacuerdo,Muy en desacuerdo,32,0,3,3,2,2,2,2,3,2,2,2,2,2,2,1,2,2,3,1,2,2,40,26
12,Femenino,Chile,45,45,4. Media completa / TÈcnica incompleta.,No,1,1,1,1,1,3,2,2,1,2,15,3,3,En desacuerdo,3,En desacuerdo,3,3,De acuerdo,En desacuerdo,En desacuerdo,29,3,0,3,1,0,3,2,2,2,2,2,2,3,2,3,3,3,3,2,3,3,44,24
47,Femenino,Chile,46 a√±os,46,4. Media completa / TÈcnica incompleta.,No,4,4,4,4,3,4,4,1,4,4,36,4,2,En desacuerdo,2,De acuerdo,2,3,Muy de acuerdo,De acuerdo,Muy en desacuerdo,25,3,0,3,3,1,2,2,1,0,2,3,2,3,0,2,3,2,3,3,3,3,41,24
22,Masculino,chile,45,45,5. Universitaria incompleta / TÈcnica completa,No,4,4,4,4,4,4,4,4,4,4,40,4,4,Muy en desacuerdo,4,Muy en desacuerdo,4,4,Muy en desacuerdo,Muy en desacuerdo,Muy en desacuerdo,40,3,0,3,3,3,3,3,3,2,2,2,2,2,2,2,2,1,3,3,1,3,45,21
29,Femenino,Chile,46,46,2. B·sica completa.,No,3,1,3,3,3,4,3,2,2,1,25,4,4,Muy en desacuerdo,4,Muy en desacuerdo,4,4,En desacuerdo,Muy en desacuerdo,Muy en desacuerdo,39,0,3,2,2,3,3,3,2,2,2,3,2,3,3,2,1,2,3,2,2,2,45,29
54,Masculino,Chile,46 a√±os,46,4. Media completa / TÈcnica incompleta.,No,2,2,2,2,3,3,2,3,3,2,24,4,4,Muy en desacuerdo,4,Muy en desacuerdo,4,4,De acuerdo,Muy en desacuerdo,Muy en desacuerdo,38,3,0,3,2,3,3,3,3,3,3,3,3,2,3,2,2,3,3,3,0,2,50,22
55,Masculino,Chile,46 a√±os,46,3. Media incompleta.,No,3,2,3,3,3,4,3,3,3,2,29,4,4,Muy en desacuerdo,4,En desacuerdo,4,4,De acuerdo,Muy en desacuerdo,En desacuerdo,36,3,0,3,3,2,3,3,2,2,3,3,2,3,3,2,2,1,3,1,3,3,47,25
30,Masculino,Chile,45,45,4. Media completa / TÈcnica incompleta.,No,4,4,4,4,4,3,4,4,3,4,38,3,3,De acuerdo,3,Muy en desacuerdo,3,3,Muy de acuerdo,En desacuerdo,En desacuerdo,28,0,1,1,2,2,2,1,1,1,2,2,2,2,2,2,2,2,2,3,1,2,33,31
31,Femenino,Chile,45,45,4. Media completa / TÈcnica incompleta.,No,1,1,1,1,1,1,1,1,1,1,10,4,4,En desacuerdo,4,En desacuerdo,4,4,En desacuerdo,En desacuerdo,En desacuerdo,35,2,0,2,2,1,2,2,2,0,2,2,2,3,3,2,2,3,3,3,2,2,40,17
51,Femenino,Chile,39 a√±os,39,4. Media completa / TÈcnica incompleta.,No,4,3,4,3,3,4,4,2,1,3,31,4,4,Muy en desacuerdo,4,Muy en desacuerdo,4,4,Muy en desacuerdo,Muy en desacuerdo,Muy en desacuerdo,40,2,0,3,0,2,3,3,1,1,1,2,2,2,1,3,3,2,3,0,3,3,37,16
36,Masculino,Chile,43,43,5. Universitaria incompleta / TÈcnica completa,No,4,1,4,4,4,4,4,4,1,4,34,3,3,Muy en desacuerdo,4,Muy en desacuerdo,3,4,Muy en desacuerdo,Muy en desacuerdo,Muy en desacuerdo,37,3,0,2,2,2,2,2,3,2,2,3,2,2,0,2,3,3,3,2,2,3,42,23
14,Femenino,Chile,39,39,5. Universitaria incompleta / TÈcnica completa,No,1,1,3,4,1,4,1,3,2,4,24,3,3,Muy en desacuerdo,4,Muy en desacuerdo,4,4,Muy en desacuerdo,Muy en desacuerdo,Muy en desacuerdo,38,3,0,3,3,2,3,2,3,1,3,3,3,2,2,3,3,3,3,1,2,3,48,18
25,Masculino,chile,45,45,4. Media completa / TÈcnica incompleta.,No,4,4,4,4,3,4,4,4,4,4,39,1,4,En desacuerdo,3,En desacuerdo,1,1,Muy de acuerdo,En desacuerdo,En desacuerdo,23,0,3,3,2,2,3,2,2,1,3,3,2,3,2,3,2,1,2,3,0,3,42,27
5,Femenino,Chile,45,45,3. Media incompleta.,No,2,1,3,3,1,1,3,1,1,1,17,3,3,Muy en desacuerdo,4,En desacuerdo,4,4,Muy en desacuerdo,Muy en desacuerdo,Muy en desacuerdo,37,3,0,3,1,3,2,3,1,1,3,3,2,3,0,0,1,3,3,0,2,2,37,20
17,Femenino,Chile,44,44,2. B·sica completa.,No,2,2,2,2,2,2,2,3,2,2,21,4,4,Muy en desacuerdo,4,Muy en desacuerdo,4,4,Muy de acuerdo,Muy en desacuerdo,Muy en desacuerdo,37,3,0,3,3,3,3,3,2,0,1,3,2,3,0,0,0,2,3,3,3,2,40,27
23,Masculino,Chile,45,45,5. Universitaria incompleta / TÈcnica completa,No,1,1,1,1,1,1,1,1,1,1,10,4,4,Muy en desacuerdo,4,Muy en desacuerdo,4,4,Muy de acuerdo,Muy en desacuerdo,Muy en desacuerdo,37,3,0,3,3,3,1,1,3,3,3,3,3,3,3,3,3,3,3,1,3,3,51,25
28,Femenino,chile,45,45,4. Media completa / TÈcnica incompleta.,No,3,2,3,3,3,3,3,2,3,3,28,4,4,Muy en desacuerdo,4,En desacuerdo,4,4,En desacuerdo,En desacuerdo,Muy en desacuerdo,37,0,2,2,1,1,1,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,33,29
28,Femenino,Chile,35,45,3. Media incompleta.,No,3,2,4,4,4,4,4,4,1,4,34,4,4,Muy en desacuerdo,2,En desacuerdo,4,3,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,27,0,3,3,2,2,3,2,2,1,2,2,3,3,0,3,3,2,2,3,0,2,41,28
10,Femenino,chile,44,44,4. Media completa / TÈcnica incompleta.,No,2,1,1,2,1,2,2,1,1,2,15,3,3,Muy en desacuerdo,3,En desacuerdo,4,4,En desacuerdo,Muy en desacuerdo,Muy en desacuerdo,35,3,0,3,1,1,2,3,3,0,1,2,2,3,2,1,2,2,2,1,2,2,36,23
38,Masculino,Chile,46,46,2. B·sica completa.,No,3,1,3,3,2,3,3,3,3,2,26,3,3,En desacuerdo,2,En desacuerdo,3,3,De acuerdo,Muy en desacuerdo,De acuerdo,28,2,0,0,1,1,3,1,2,0,2,3,2,2,0,1,0,2,2,3,2,1,29,25
6,Femenino,Chlie,44,44,4. Media completa / TÈcnica incompleta.,No,1,1,1,1,1,1,3,1,2,3,15,4,4,Muy en desacuerdo,4,Muy en desacuerdo,4,3,Muy en desacuerdo,Muy en desacuerdo,Muy en desacuerdo,39,2,0,3,3,0,1,2,2,1,2,2,2,3,0,3,2,1,3,2,0,2,34,27
21,Femenino,chile,44,44,4. Media completa / TÈcnica incompleta.,No,4,3,3,3,3,4,4,3,4,3,34,4,4,Muy en desacuerdo,4,Muy en desacuerdo,4,4,Muy en desacuerdo,Muy en desacuerdo,Muy en desacuerdo,40,0,3,3,2,2,3,3,2,1,3,2,3,3,0,2,1,2,3,3,2,3,43,24
46,Femenino,Chile,44 a√±os,44,4. Media completa / TÈcnica incompleta.,No,4,3,4,4,1,4,4,4,4,4,36,4,2,Muy en desacuerdo,3,Muy en desacuerdo,4,4,En desacuerdo,Muy en desacuerdo,En desacuerdo,35,3,0,3,3,1,2,2,3,3,3,3,3,2,1,2,1,3,3,3,2,3,46,23
26,Masculino,chile,44,44,5. Universitaria incompleta / TÈcnica completa,No,3,2,4,4,1,4,4,3,3,4,32,4,2,Muy de acuerdo,1,Muy de acuerdo,2,1,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,15,2,0,2,2,1,2,3,1,1,1,1,2,3,0,2,2,2,3,3,3,1,36,27
48,Femenino,Chile,44 a√±os,44,3. Media incompleta.,SÌ,4,4,4,4,4,4,4,4,4,4,40,3,1,Muy de acuerdo,2,Muy de acuerdo,1,1,Muy de acuerdo,De acuerdo,Muy de acuerdo,14,0,3,3,0,0,0,0,0,0,0,0,0,3,1,0,0,2,2,2,2,3,18,37
4,Femenino,chile,43 a√±os,43,4. Media completa / TÈcnica incompleta.,No,3,4,4,4,1,4,4,4,3,4,35,4,4,Muy en desacuerdo,4,Muy en desacuerdo,4,4,Muy de acuerdo,Muy en desacuerdo,Muy en desacuerdo,37,3,0,3,3,3,2,3,3,2,3,3,3,3,2,2,3,3,3,1,2,3,50,14
12,Femenino,Chile,43 a√±os,43,5. Universitaria incompleta / TÈcnica completa,No,2,1,2,3,2,4,2,1,2,1,20,4,4,Muy en desacuerdo,4,Muy en desacuerdo,4,4,Muy en desacuerdo,Muy en desacuerdo,Muy en desacuerdo,40,0,1,1,1,1,3,3,2,2,3,3,2,2,0,1,3,3,3,1,2,3,37,17
49,Masculino,Chile,43,43,5. Universitaria incompleta / TÈcnica completa,No,3,3,3,4,3,4,4,3,3,3,33,3,3,Muy en desacuerdo,3,En desacuerdo,2,2,De acuerdo,En desacuerdo,En desacuerdo,28,3,0,3,3,2,2,2,2,1,2,2,2,3,2,2,2,3,3,2,2,2,43,29
