"success","procedure","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","trialid","url"
"true","Consent","fullscreen","0","2345","0.0-0.0-0.0","","","",""
"","Consent","instructions","1","4426","0.0-1.0","[{""page_index"":0,""viewing_time"":2078}]","2079","Instructions",""
"","Consent","external-html","2","8779","0.0-2.0","","4066","Consent_01","html/consent-neely.html"
