"view_history","rt","trialid","trial_type","trial_index","time_elapsed","internal_node_id","url"
"[{""page_index"":0,""viewing_time"":4411}]","4412","Instructions","instructions","0","4416","0.0-0.0",""
"","62370.81499999977","Consent_01","external-html","1","67082","0.0-1.0","html/consent-neely.html"
