"view_history","rt","trialid","trial_type","trial_index","time_elapsed","internal_node_id","url"
"[{""page_index"":0,""viewing_time"":4136}]","4137","Instructions","instructions","0","4138","0.0-0.0",""
"","4658.999999999999","Consent_01","external-html","1","9055","0.0-1.0","html/consent-neely.html"
