"view_history","rt","trialid","trial_type","trial_index","time_elapsed","internal_node_id","url"
"[{""page_index"":0,""viewing_time"":5911}]","5912","Instructions","instructions","0","5913","0.0-0.0",""
"","150724.83499999996","Consent_01","external-html","1","156884","0.0-1.0","html/consent-neely.html"
