"view_history","rt","trialid","trial_type","trial_index","time_elapsed","internal_node_id","url"
"[{""page_index"":0,""viewing_time"":1261}]","1263","Instructions","instructions","0","1266","0.0-0.0",""
"","8831.399999995483","Consent_01","external-html","1","10393","0.0-1.0","html/consent-neely.html"
