"success","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","trialid"
"true","fullscreen","0","1651","0.0-0.0","","",""
"","instructions","1","7480","0.0-1.0","[{""page_index"":0,""viewing_time"":5827}]","5828","Instructions"
