"view_history","rt","trialid","trial_type","trial_index","time_elapsed","internal_node_id","url"
"[{""page_index"":0,""viewing_time"":2537}]","2540","Instructions","instructions","0","2547","0.0-0.0",""
"","16854.199999943376","Consent_01","external-html","1","19645","0.0-1.0","html/consent-neely.html"
