"success","procedure","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","trialid","url"
"true","Consent","fullscreen","0","5598","0.0-0.0-0.0","","","",""
"","Consent","instructions","1","8957","0.0-1.0","[{""page_index"":0,""viewing_time"":3352}]","3353","Instructions",""
"","Consent","external-html","2","87865","0.0-2.0","","78637.39999999962","Consent_01","html/consent-neely.html"
