"view_history","rt","trialid","trial_type","trial_index","time_elapsed","internal_node_id","url"
"[{""page_index"":0,""viewing_time"":1569}]","1571","Instructions","instructions","0","1573","0.0-0.0",""
"","12938.29999997979","Consent_01","external-html","1","14780","0.0-1.0","html/consent-neely.html"
