"success","procedure","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","trialid","url"
"true","Consent","fullscreen","0","4313","0.0-0.0-0.0","","","",""
"","Consent","instructions","1","7007","0.0-1.0","[{""page_index"":0,""viewing_time"":2682}]","2684","Instructions",""
"","Consent","external-html","2","76817","0.0-2.0","","68994.90000000154","Consent_01","html/consent-neely.html"
