"view_history","rt","trialid","trial_type","trial_index","time_elapsed","internal_node_id","url"
"[{""page_index"":0,""viewing_time"":3390}]","3391","Instructions","instructions","0","3393","0.0-0.0",""
"","16066.500000073574","Consent_01","external-html","1","19602","0.0-1.0","html/consent-neely.html"
