"view_history","rt","trialid","trial_type","trial_index","time_elapsed","internal_node_id","url"
"[{""page_index"":0,""viewing_time"":21141}]","21142","Instructions","instructions","0","21144","0.0-0.0",""
"","9004","Consent_01","external-html","1","30787","0.0-1.0","html/consent-neely.html"
