"success","procedure","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","trialid","url"
"true","Consent","fullscreen","0","1744","0.0-0.0-0.0","","","",""
"","Consent","instructions","1","4240","0.0-1.0","[{""page_index"":0,""viewing_time"":2494}]","2494","Instructions",""
"","Consent","external-html","2","10819","0.0-2.0","","6202.445000060834","Consent_01","html/consent-neely.html"
