"success","procedure","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","trialid","url"
"true","Consent","fullscreen","0","5154","0.0-0.0-0.0","","","",""
"","Consent","instructions","1","9085","0.0-1.0","[{""page_index"":0,""viewing_time"":3922}]","3924","Instructions",""
"","Consent","external-html","2","75081","0.0-2.0","","65769.00000002934","Consent_01","html/consent-neely.html"
