"view_history","rt","trialid","trial_type","trial_index","time_elapsed","internal_node_id","url"
"[{""page_index"":0,""viewing_time"":9082}]","9083","Instructions","instructions","0","9085","0.0-0.0",""
"","216086.80000016466","Consent_01","external-html","1","225586","0.0-1.0","html/consent-neely.html"
