"view_history","rt","trialid","trial_type","trial_index","time_elapsed","internal_node_id","url"
"[{""page_index"":0,""viewing_time"":2094}]","2095","Instructions","instructions","0","2099","0.0-0.0",""
"","19450.69999999987","Consent_01","external-html","1","21780","0.0-1.0","html/consent-neely.html"
