"view_history","rt","trialid","trial_type","trial_index","time_elapsed","internal_node_id","url"
"[{""page_index"":0,""viewing_time"":2843}]","2844","Instructions","instructions","0","2844","0.0-0.0",""
"","15425.054999999702","Consent_01","external-html","1","18569","0.0-1.0","html/consent-neely.html"
