"success","procedure","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","trialid","url"
"true","Consent","fullscreen","0","801","0.0-0.0-0.0","","","",""
"","Consent","instructions","1","1858","0.0-1.0","[{""page_index"":0,""viewing_time"":1057}]","1057","Instructions",""
"","Consent","external-html","2","4035","0.0-2.0","","1927.3999999910593","Consent_01","html/consent-neely.html"
