"success","procedure","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","trialid","url"
"true","Consent","fullscreen","0","4692","0.0-0.0-0.0","","","",""
"","Consent","instructions","1","6973","0.0-1.0","[{""page_index"":0,""viewing_time"":2276}]","2279","Instructions",""
"","Consent","external-html","2","86680","0.0-2.0","","79393.69999999985","Consent_01","html/consent-neely.html"
