"success","procedure","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","trialid","url"
"true","Consent","fullscreen","0","2107","0.0-0.0-0.0","","","",""
"","Consent","instructions","1","3666","0.0-1.0","[{""page_index"":0,""viewing_time"":1557}]","1557","Instructions",""
"","Consent","external-html","2","6098","0.0-2.0","","2145.299999974668","Consent_01","html/consent-neely.html"
