"success","procedure","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","trialid"
"true","Goodbye","fullscreen","118","885508","0.0-127.0-0.0","","",""
"","Goodbye","instructions","119","891080","0.0-128.0","[{""page_index"":0,""viewing_time"":5569}]","5571","Instructions"
