"success","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","trialid","stimulus","responses"
"true","fullscreen","0","930","0.0-0.0","","","","",""
"","instructions","1","2788","0.0-1.0","[{""page_index"":0,""viewing_time"":1854}]","1856","Instructions","",""
"","html-slider-response-CSCN","2","12154","0.0-2.0","","9355.20000004908","OTRASRELIG_01","{""Q0"":""¿Qué tan importante considera que es Dios en su vida? ""}","{""Q0"":""1""}"
"","survey-multi-choice-vertical","3","14688","0.0-3.0","","2524","OTRASRELIG_02","{""Q0"":""¿Cree usted en Dios?""}","{""Q0"":"" Sí""}"
"","survey-multi-choice-vertical","4","18341","0.0-4.0","","3646","OTRASRELIG_03","{""Q0"":""¿Cree usted en la vida después de la muerte?""}","{""Q0"":"" No""}"
"","survey-multi-choice-vertical","5","20556","0.0-5.0","","2209","OTRASRELIG_04","{""Q0"":""¿Cree usted en el Infierno?""}","{""Q0"":"" No""}"
"","survey-multi-choice-vertical","6","22066","0.0-6.0","","1504","OTRASRELIG_05","{""Q0"":""¿Cree usted en el Cielo?""}","{""Q0"":"" No""}"
"","survey-multi-choice-vertical","7","25043","0.0-7.0","","2969","OTRASRELIG_06","{""Q0"":""Fui criado(a)""}","{""Q0"":"" Religioso(a), Católico(a)""}"
"","survey-multi-choice-vertical","8","30285","0.0-9.0","","5234","OTRASRELIG_08","{""Q0"":""¿Cuál de los siguientes corresponde a su preferencia y/o afiliación religiosa?""}","{""Q0"":"" Católico(a)""}"
"","survey-multi-choice-vertical","9","34026","0.0-11.0","","3730","OTRASRELIG_10","{""Q0"":""¿Su familia y/o amigos pertenecen a su mismo grupo religioso?""}","{""Q0"":"" La gran mayoría""}"
"","survey-multi-choice-vertical","10","41994","0.0-12.0","","7955","OTRASRELIG_11","{""Q0"":""Sin considerar matrimonios y funerales, y sin considerar el periodo de pandemia, ¿qué tan seguido asiste a servicios religiosos?""}","{""Q0"":"" Solo para los festivos""}"
