"success","procedure","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","trialid","url"
"true","Consent","fullscreen","0","6583","0.0-0.0-0.0","","","",""
"","Consent","instructions","1","8504","0.0-1.0","[{""page_index"":0,""viewing_time"":1911}]","1912","Instructions",""
"","Consent","external-html","2","58583","0.0-2.0","","49778.299999998126","Consent_01","html/consent-neely.html"
