"view_history","rt","trialid","trial_type","trial_index","time_elapsed","internal_node_id","url"
"[{""page_index"":0,""viewing_time"":1317}]","1318","Instructions","instructions","0","1318","0.0-0.0",""
"","17150","Consent_01","external-html","1","18726","0.0-1.0","html/consent-neely.html"
