"success","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","trialid","stimulus","responses"
"true","fullscreen","0","1264","0.0-0.0","","","","",""
"","instructions","1","2035","0.0-1.0","[{""page_index"":0,""viewing_time"":765}]","768","Instructions","",""
"","html-slider-response-CSCN","2","17068","0.0-2.0","","15015.09999999871","OTRASRELIG_01","{""Q0"":""¿Qué tan importante considera que es Dios en su vida? ""}","{""Q0"":""7""}"
"","survey-multi-choice-vertical","3","18938","0.0-3.0","","1861","OTRASRELIG_02","{""Q0"":""¿Cree usted en Dios?""}","{""Q0"":"" Sí""}"
"","survey-multi-choice-vertical","4","21129","0.0-4.0","","2182","OTRASRELIG_03","{""Q0"":""¿Cree usted en la vida después de la muerte?""}","{""Q0"":"" Sí""}"
"","survey-multi-choice-vertical","5","23835","0.0-5.0","","2698","OTRASRELIG_04","{""Q0"":""¿Cree usted en el Infierno?""}","{""Q0"":"" Sí""}"
"","survey-multi-choice-vertical","6","25355","0.0-6.0","","1513","OTRASRELIG_05","{""Q0"":""¿Cree usted en el Cielo?""}","{""Q0"":"" Sí""}"
"","survey-multi-choice-vertical","7","28334","0.0-7.0","","2968","OTRASRELIG_06","{""Q0"":""Fui criado(a)""}","{""Q0"":"" Religioso(a), Católico(a)""}"
"","survey-multi-choice-vertical","8","32144","0.0-9.0","","3794","OTRASRELIG_08","{""Q0"":""¿Cuál de los siguientes corresponde a su preferencia y/o afiliación religiosa?""}","{""Q0"":"" Católico(a)""}"
"","survey-multi-choice-vertical","9","36205","0.0-11.0","","4051","OTRASRELIG_10","{""Q0"":""¿Su familia y/o amigos pertenecen a su mismo grupo religioso?""}","{""Q0"":"" La gran mayoría""}"
"","survey-multi-choice-vertical","10","50319","0.0-12.0","","14102","OTRASRELIG_11","{""Q0"":""Sin considerar matrimonios y funerales, y sin considerar el periodo de pandemia, ¿qué tan seguido asiste a servicios religiosos?""}","{""Q0"":"" Una vez a la semana""}"
