"success","procedure","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","trialid","url"
"true","Consent","fullscreen","0","4378","0.0-0.0-0.0","","","",""
"","Consent","instructions","1","6311","0.0-1.0","[{""page_index"":0,""viewing_time"":1927}]","1928","Instructions",""
"","Consent","external-html","2","13136","0.0-2.0","","5625.999999999294","Consent_01","html/consent-neely.html"
