"view_history","rt","trialid","trial_type","trial_index","time_elapsed","internal_node_id","url"
"[{""page_index"":0,""viewing_time"":3140}]","3141","Instructions","instructions","0","3142","0.0-0.0",""
"","10311.535000000731","Consent_01","external-html","1","13690","0.0-1.0","html/consent-neely.html"
