"success","procedure","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","trialid","url"
"true","Consent","fullscreen","0","10821","0.0-0.0-0.0","","","",""
"","Consent","instructions","1","14725","0.0-1.0","[{""page_index"":0,""viewing_time"":3898}]","3899","Instructions",""
"","Consent","external-html","2","158860","0.0-2.0","","143905.09999997448","Consent_01","html/consent-neely.html"
