"success","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","trialid"
"true","fullscreen","0","2065","0.0-0.0","","",""
"","instructions","1","4601","0.0-1.0","[{""page_index"":0,""viewing_time"":2534}]","2535","Instructions"
