"view_history","rt","trialid","trial_type","trial_index","time_elapsed","internal_node_id","url"
"[{""page_index"":0,""viewing_time"":5138}]","5138","Instructions","instructions","0","5139","0.0-0.0",""
"","17793.154999963008","Consent_01","external-html","1","23210","0.0-1.0","html/consent-neely.html"
