"success","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","trialid"
"true","fullscreen","0","13447","0.0-0.0","","",""
"","instructions","1","21362","0.0-1.0","[{""page_index"":0,""viewing_time"":7910}]","7912","Instructions"
