"view_history","rt","trialid","procedure","trial_type","trial_index","time_elapsed","internal_node_id","url"
"[{""page_index"":0,""viewing_time"":8267}]","8276","Instructions","Consent","instructions","0","8280","0.0-1.0",""
"","42125","Consent_01","Consent","external-html","1","50986","0.0-2.0","html/consent-neely.html"
