"success","procedure","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","trialid"
"true","Goodbye","fullscreen","117","1081745","0.0-126.0-0.0","","",""
"","Goodbye","instructions","118","1096065","0.0-127.0","[{""page_index"":0,""viewing_time"":14320}]","14320","Instructions"
