"success","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","trialid","stimulus","responses"
"true","fullscreen","0","1813","0.0-0.0","","","","",""
"","instructions","1","3399","0.0-1.0","[{""page_index"":0,""viewing_time"":1581}]","1585","Instructions","",""
"","survey-multi-choice-vertical","2","7801","0.0-2.0","","4397","SCSORF_01","{""Q0"":""1. Mi fe religiosa es extremadamente importante para mí.""}","{""Q0"":"" En desacuerdo""}"
"","survey-multi-choice-vertical","3","10569","0.0-3.0","","2765","SCSORF_02","{""Q0"":""2. Rezo a diario.""}","{""Q0"":"" En desacuerdo""}"
"","survey-multi-choice-vertical","4","13520","0.0-4.0","","2947","SCSORF_03","{""Q0"":""3. Considero mi fe una fuente de inspiración""}","{""Q0"":"" En desacuerdo""}"
"","survey-multi-choice-vertical","5","16082","0.0-5.0","","2558","SCSORF_04","{""Q0"":""4. Considero que mi fe le otorga significado y propósito a mi vida.""}","{""Q0"":"" En desacuerdo""}"
"","survey-multi-choice-vertical","6","19638","0.0-6.0","","3552","SCSORF_05","{""Q0"":""5. Me considero activo/a en mi fe o iglesia.""}","{""Q0"":"" En desacuerdo""}"
"","survey-multi-choice-vertical","7","22090","0.0-7.0","","2447","SCSORF_06","{""Q0"":""6. Mi fe es una parte importante de quien soy como persona.""}","{""Q0"":"" En desacuerdo""}"
"","survey-multi-choice-vertical","8","23924","0.0-8.0","","1828","SCSORF_07","{""Q0"":""7. Mi relación con Dios es extremadamente importante para mí.""}","{""Q0"":"" En desacuerdo""}"
"","survey-multi-choice-vertical","9","26683","0.0-9.0","","2755","SCSORF_08","{""Q0"":""8. Disfruto estando alrededor de otras personas que comparten mi fe.""}","{""Q0"":"" En desacuerdo""}"
"","survey-multi-choice-vertical","10","29953","0.0-10.0","","3266","SCSORF_09","{""Q0"":""9. Veo mi fe como una fuente de comodidad.""}","{""Q0"":"" En desacuerdo""}"
"","survey-multi-choice-vertical","11","60374","0.0-11.0","","30417","SCSORF_10","{""Q0"":""10. Mi fe impacta muchas de mis decisiones.""}","{""Q0"":"" En desacuerdo""}"
