"view_history","rt","trialid","trial_type","trial_index","time_elapsed","internal_node_id","url"
"[{""page_index"":0,""viewing_time"":4675}]","4675","Instructions","instructions","0","4676","0.0-0.0",""
"","13758.449999964796","Consent_01","external-html","1","18621","0.0-1.0","html/consent-neely.html"
