"success","procedure","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","trialid","url"
"true","Consent","fullscreen","0","1648","0.0-0.0-0.0","","","",""
"","Consent","instructions","1","4120","0.0-1.0","[{""page_index"":0,""viewing_time"":2470}]","2470","Instructions",""
"","Consent","external-html","2","70285","0.0-2.0","","65943.71500000033","Consent_01","html/consent-neely.html"
