"success","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","trialid","stimulus","responses"
"true","fullscreen","0","806","0.0-0.0","","","","",""
"","instructions","1","3020","0.0-1.0","[{""page_index"":0,""viewing_time"":2212}]","2213","Instructions","",""
"","html-slider-response-CSCN","2","14693","0.0-2.0","","11669.500000003609","OTRASRELIG_01","{""Q0"":""¿Qué tan importante considera que es Dios en su vida? ""}","{""Q0"":""2""}"
"","survey-multi-choice-vertical","3","17468","0.0-3.0","","2771","OTRASRELIG_02","{""Q0"":""¿Cree usted en Dios?""}","{""Q0"":"" Sí""}"
"","survey-multi-choice-vertical","4","19946","0.0-4.0","","2470","OTRASRELIG_03","{""Q0"":""¿Cree usted en la vida después de la muerte?""}","{""Q0"":"" Sí""}"
"","survey-multi-choice-vertical","5","21667","0.0-5.0","","1718","OTRASRELIG_04","{""Q0"":""¿Cree usted en el Infierno?""}","{""Q0"":"" Sí""}"
"","survey-multi-choice-vertical","6","23082","0.0-6.0","","1413","OTRASRELIG_05","{""Q0"":""¿Cree usted en el Cielo?""}","{""Q0"":"" Sí""}"
"","survey-multi-choice-vertical","7","28403","0.0-7.0","","5316","OTRASRELIG_06","{""Q0"":""Fui criado(a)""}","{""Q0"":"" Religioso(a), Protestante (evangélico(a))""}"
"","survey-multi-choice-vertical","8","34655","0.0-9.0","","6247","OTRASRELIG_08","{""Q0"":""¿Cuál de los siguientes corresponde a su preferencia y/o afiliación religiosa?""}","{""Q0"":"" Otro""}"
"","survey-text","9","41934","0.0-10.0-0.0","","7269","OTRASRELIG_09","{""Q0"":""¿Cuál es su preferencia y/o afiliación religiosa?""}","{""Q0"":""Agnóstico ""}"
"","survey-multi-choice-vertical","10","49214","0.0-11.0","","7274","OTRASRELIG_10","{""Q0"":""¿Su familia y/o amigos pertenecen a su mismo grupo religioso?""}","{""Q0"":"" Solo algunos""}"
"","survey-multi-choice-vertical","11","59446","0.0-12.0","","10225","OTRASRELIG_11","{""Q0"":""Sin considerar matrimonios y funerales, y sin considerar el periodo de pandemia, ¿qué tan seguido asiste a servicios religiosos?""}","{""Q0"":"" Una vez al año""}"
