"success","procedure","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","trialid","url"
"true","Consent","fullscreen","0","4349","0.0-0.0-0.0","","","",""
"","Consent","instructions","1","7067","0.0-1.0","[{""page_index"":0,""viewing_time"":2712}]","2713","Instructions",""
"","Consent","external-html","2","74602","0.0-2.0","","67268.80000019446","Consent_01","html/consent-neely.html"
