"success","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","trialid","stimulus","responses"
"true","fullscreen","0","2235","0.0-0.0","","","","",""
"","instructions","1","6843","0.0-1.0","[{""page_index"":0,""viewing_time"":4606}]","4606","Instructions","",""
"","html-slider-response-CSCN","2","76309","0.0-2.0","","69454","OTRASRELIG_01","{""Q0"":""¿Qué tan importante considera que es Dios en su vida? ""}","{""Q0"":""7""}"
"","survey-multi-choice-vertical","3","81036","0.0-3.0","","4721","OTRASRELIG_02","{""Q0"":""¿Cree usted en Dios?""}","{""Q0"":"" Sí""}"
"","survey-multi-choice-vertical","4","86181","0.0-4.0","","5141","OTRASRELIG_03","{""Q0"":""¿Cree usted en la vida después de la muerte?""}","{""Q0"":"" Sí""}"
"","survey-multi-choice-vertical","5","90980","0.0-5.0","","4794","OTRASRELIG_04","{""Q0"":""¿Cree usted en el Infierno?""}","{""Q0"":"" Sí""}"
"","survey-multi-choice-vertical","6","95676","0.0-6.0","","4693","OTRASRELIG_05","{""Q0"":""¿Cree usted en el Cielo?""}","{""Q0"":"" Sí""}"
"","survey-multi-choice-vertical","7","101774","0.0-7.0","","6090","OTRASRELIG_06","{""Q0"":""Fui criado(a)""}","{""Q0"":"" Religioso(a), Católico(a)""}"
"","survey-multi-choice-vertical","8","111320","0.0-9.0","","9540","OTRASRELIG_08","{""Q0"":""¿Cuál de los siguientes corresponde a su preferencia y/o afiliación religiosa?""}","{""Q0"":"" Católico(a)""}"
"","survey-multi-choice-vertical","9","122290","0.0-11.0","","10961","OTRASRELIG_10","{""Q0"":""¿Su familia y/o amigos pertenecen a su mismo grupo religioso?""}","{""Q0"":"" Hartos""}"
"","survey-multi-choice-vertical","10","135990","0.0-12.0","","13691","OTRASRELIG_11","{""Q0"":""Sin considerar matrimonios y funerales, y sin considerar el periodo de pandemia, ¿qué tan seguido asiste a servicios religiosos?""}","{""Q0"":"" Solo para los festivos""}"
