"success","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","trialid"
"true","fullscreen","0","1231","0.0-0.0","","",""
"","instructions","1","3895","0.0-1.0","[{""page_index"":0,""viewing_time"":2661}]","2662","Instructions"
