"success","procedure","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","trialid"
"true","Goodbye","fullscreen","120","1583144","0.0-127.0-0.0","","",""
"","Goodbye","instructions","121","1589371","0.0-128.0","[{""page_index"":0,""viewing_time"":6226}]","6226","Instructions"
