"success","procedure","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","trialid","url"
"true","Consent","fullscreen","0","2730","0.0-0.0-0.0","","","",""
"","Consent","instructions","1","5075","0.0-1.0","[{""page_index"":0,""viewing_time"":2342}]","2343","Instructions",""
"","Consent","external-html","2","14653","0.0-2.0","","9338","Consent_01","html/consent-neely.html"
