"success","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","trialid"
"true","fullscreen","0","6168","0.0-0.0","","",""
"","instructions","1","13214","0.0-1.0","[{""page_index"":0,""viewing_time"":7043}]","7045","Instructions"
