"success","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","trialid","stimulus","responses"
"true","fullscreen","0","2660","0.0-0.0","","","","",""
"","instructions","1","7661","0.0-1.0","[{""page_index"":0,""viewing_time"":5000}]","5001","Instructions","",""
"","html-slider-response-CSCN","2","63813","0.0-2.0","","56146","OTRASRELIG_01","{""Q0"":""¿Qué tan importante considera que es Dios en su vida? ""}","{""Q0"":""8""}"
"","survey-multi-choice-vertical","3","69533","0.0-3.0","","5714","OTRASRELIG_02","{""Q0"":""¿Cree usted en Dios?""}","{""Q0"":"" Sí""}"
"","survey-multi-choice-vertical","4","77154","0.0-4.0","","7617","OTRASRELIG_03","{""Q0"":""¿Cree usted en la vida después de la muerte?""}","{""Q0"":"" Sí""}"
"","survey-multi-choice-vertical","5","82417","0.0-5.0","","5259","OTRASRELIG_04","{""Q0"":""¿Cree usted en el Infierno?""}","{""Q0"":"" No""}"
"","survey-multi-choice-vertical","6","86542","0.0-6.0","","4121","OTRASRELIG_05","{""Q0"":""¿Cree usted en el Cielo?""}","{""Q0"":"" No""}"
"","survey-multi-choice-vertical","7","97345","0.0-7.0","","10798","OTRASRELIG_06","{""Q0"":""Fui criado(a)""}","{""Q0"":"" Religioso(a), de otra afiliación.""}"
"","survey-text","8","131207","0.0-8.0-0.0","","33846","OTRASRELIG_07","{""Q0"":""¿Cuál es su religión?""}","{""Q0"":""Lakota""}"
"","survey-multi-choice-vertical","9","143832","0.0-9.0","","12619","OTRASRELIG_08","{""Q0"":""¿Cuál de los siguientes corresponde a su preferencia y/o afiliación religiosa?""}","{""Q0"":"" Otro""}"
"","survey-text","10","149601","0.0-10.0-0.0","","5754","OTRASRELIG_09","{""Q0"":""¿Cuál es su preferencia y/o afiliación religiosa?""}","{""Q0"":""Lakota""}"
"","survey-multi-choice-vertical","11","169983","0.0-11.0","","20378","OTRASRELIG_10","{""Q0"":""¿Su familia y/o amigos pertenecen a su mismo grupo religioso?""}","{""Q0"":"" Casi nadie o nadie""}"
"","survey-multi-choice-vertical","12","194281","0.0-12.0","","24292","OTRASRELIG_11","{""Q0"":""Sin considerar matrimonios y funerales, y sin considerar el periodo de pandemia, ¿qué tan seguido asiste a servicios religiosos?""}","{""Q0"":"" Menos de una vez al año""}"
