"view_history","rt","trialid","trial_type","trial_index","time_elapsed","internal_node_id","url"
"[{""page_index"":0,""viewing_time"":79624}]","79624","Instructions","instructions","0","79627","0.0-0.0",""
"","50367.390000028536","Consent_01","external-html","1","130413","0.0-1.0","html/consent-neely.html"
