"view_history","rt","trialid","trial_type","trial_index","time_elapsed","internal_node_id","url"
"[{""page_index"":0,""viewing_time"":1474}]","1477","Instructions","instructions","0","1478","0.0-0.0",""
"","22266.799999997602","Consent_01","external-html","1","24017","0.0-1.0","html/consent-neely.html"
