"success","procedure","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","trialid"
"true","Goodbye","fullscreen","119","2236969","0.0-127.0-0.0","","",""
"","Goodbye","instructions","120","2243519","0.0-128.0","[{""page_index"":0,""viewing_time"":6548}]","6549","Instructions"
