"success","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","trialid","stimulus","responses"
"true","fullscreen","0","2105","0.0-0.0","","","","",""
"","instructions","1","5347","0.0-1.0","[{""page_index"":0,""viewing_time"":3240}]","3241","Instructions","",""
"","html-slider-response-CSCN","2","23022","0.0-2.0","","17673.19999996107","OTRASRELIG_01","{""Q0"":""¿Qué tan importante considera que es Dios en su vida? ""}","{""Q0"":""10""}"
"","survey-multi-choice-vertical","3","29352","0.0-3.0","","6329","OTRASRELIG_02","{""Q0"":""¿Cree usted en Dios?""}","{""Q0"":"" Sí""}"
"","survey-multi-choice-vertical","4","46969","0.0-4.0","","17615","OTRASRELIG_03","{""Q0"":""¿Cree usted en la vida después de la muerte?""}","{""Q0"":"" Sí""}"
"","survey-multi-choice-vertical","5","53967","0.0-5.0","","6996","OTRASRELIG_04","{""Q0"":""¿Cree usted en el Infierno?""}","{""Q0"":"" Sí""}"
"","survey-multi-choice-vertical","6","58114","0.0-6.0","","4145","OTRASRELIG_05","{""Q0"":""¿Cree usted en el Cielo?""}","{""Q0"":"" Sí""}"
"","survey-multi-choice-vertical","7","68914","0.0-7.0","","10798","OTRASRELIG_06","{""Q0"":""Fui criado(a)""}","{""Q0"":"" Religioso(a), de otra afiliación.""}"
"","survey-text","8","85069","0.0-8.0-0.0","","16153","OTRASRELIG_07","{""Q0"":""¿Cuál es su religión?""}","{""Q0"":""Bautista""}"
"","survey-multi-choice-vertical","9","96267","0.0-9.0","","11196","OTRASRELIG_08","{""Q0"":""¿Cuál de los siguientes corresponde a su preferencia y/o afiliación religiosa?""}","{""Q0"":"" Otro""}"
"","survey-text","10","104724","0.0-10.0-0.0","","8454","OTRASRELIG_09","{""Q0"":""¿Cuál es su preferencia y/o afiliación religiosa?""}","{""Q0"":""bautista""}"
"","survey-multi-choice-vertical","11","113104","0.0-11.0","","8377","OTRASRELIG_10","{""Q0"":""¿Su familia y/o amigos pertenecen a su mismo grupo religioso?""}","{""Q0"":"" La gran mayoría""}"
"","survey-multi-choice-vertical","12","132211","0.0-12.0","","19104","OTRASRELIG_11","{""Q0"":""Sin considerar matrimonios y funerales, y sin considerar el periodo de pandemia, ¿qué tan seguido asiste a servicios religiosos?""}","{""Q0"":"" Más de una vez a la semana""}"
