"success","procedure","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","trialid","url"
"true","Consent","fullscreen","0","5913","0.0-0.0-0.0","","","",""
"","Consent","instructions","1","9889","0.0-1.0","[{""page_index"":0,""viewing_time"":3973}]","3975","Instructions",""
"","Consent","external-html","2","52875","0.0-2.0","","42778.3000000054","Consent_01","html/consent-neely.html"
