"success","procedure","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","trialid","url"
"true","Consent","fullscreen","0","1527","0.0-0.0-0.0","","","",""
"","Consent","instructions","1","2715","0.0-1.0","[{""page_index"":0,""viewing_time"":1185}]","1186","Instructions",""
"","Consent","external-html","2","5591","0.0-2.0","","2675.485000014305","Consent_01","html/consent-neely.html"
