"view_history","rt","trialid","trial_type","trial_index","time_elapsed","internal_node_id","url"
"[{""page_index"":0,""viewing_time"":3523}]","3525","Instructions","instructions","0","3531","0.0-0.0",""
"","100805.5000000004","Consent_01","external-html","1","104552","0.0-1.0","html/consent-neely.html"
