"success","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","trialid"
"true","fullscreen","0","1964","0.0-0.0","","",""
"","instructions","1","4389","0.0-1.0","[{""page_index"":0,""viewing_time"":2424}]","2424","Instructions"
