"view_history","rt","trialid","trial_type","trial_index","time_elapsed","internal_node_id","url"
"[{""page_index"":0,""viewing_time"":22298}]","22299","Instructions","instructions","0","22301","0.0-0.0",""
"","30900.000000000004","Consent_01","external-html","1","53458","0.0-1.0","html/consent-neely.html"
