"success","procedure","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","trialid","url"
"true","Consent","fullscreen","0","4778","0.0-0.0-0.0","","","",""
"","Consent","instructions","1","6821","0.0-1.0","[{""page_index"":0,""viewing_time"":2029}]","2031","Instructions",""
"","Consent","external-html","2","10645","0.0-2.0","","3597.1000001300126","Consent_01","html/consent-neely.html"
