"success","procedure","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","trialid","url"
"true","Consent","fullscreen","0","4045","0.0-0.0-0.0","","","",""
"","Consent","instructions","1","7678","0.0-1.0","[{""page_index"":0,""viewing_time"":3624}]","3628","Instructions",""
"","Consent","external-html","2","32180","0.0-2.0","","24180.600000021514","Consent_01","html/consent-neely.html"
