"success","procedure","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","trialid","url"
"true","Consent","fullscreen","0","4538","0.0-0.0-0.0","","","",""
"","Consent","instructions","1","7225","0.0-1.0","[{""page_index"":0,""viewing_time"":2679}]","2681","Instructions",""
"","Consent","external-html","2","168282","0.0-2.0","","160629.00000000003","Consent_01","html/consent-neely.html"
