"view_history","rt","trialid","trial_type","trial_index","time_elapsed","internal_node_id","url"
"[{""page_index"":0,""viewing_time"":3699}]","3700","Instructions","instructions","0","3700","0.0-0.0",""
"","62649.674999993294","Consent_01","external-html","1","66561","0.0-1.0","html/consent-neely.html"
