id,SASS_01_RAW,SASS_02_RAW,SASS_03_RAW,SASS_04_RAW,SASS_05_RAW,SASS_06_RAW,SASS_07_RAW,SASS_08_RAW,SASS_09_RAW,SASS_10_RAW,SASS_11_RAW,SASS_12_RAW,SASS_13_RAW,SASS_14_RAW,SASS_15_RAW,SASS_16_RAW,SASS_17_RAW,SASS_18_RAW,SASS_19_RAW,SASS_20_RAW,SASS_21_RAW,SASS_22_RAW,SASS_01_DIR,SASS_02_DIR,SASS_03_DIR,SASS_04_DIR,SASS_05_DIR,SASS_06_DIR,SASS_07_DIR,SASS_08_DIR,SASS_09_DIR,SASS_10_DIR,SASS_11_DIR,SASS_12_DIR,SASS_13_DIR,SASS_14_DIR,SASS_15_DIR,SASS_16_DIR,SASS_17_DIR,SASS_18_DIR,SASS_19_DIR,SASS_20_DIR,SASS_21_DIR,SASS_22_DIR,SASS_RAW_NA,SASS_DIR_NA,SASS_DIRt
0057227z4v,Si,Nada,NA,Nada de gozo,Mucho,Buena,Muy frecuente,Muy bueno,Algunas personas?,Activamente?,Buena,Gran valor,A menudo,La mayor parte del tiempo,Para nada,Moderadamente,Mucho,Siempre,A veces,Mucho,Nunca,Moderadamente,NA,0,NA,0,3,2,3,3,2,2,2,3,2,2,0,2,3,0,2,3,3,2,1,1,39
01ek6pnb5d,Si,Mucho,NA,Mucho gozo,Mucho,Muy buena,Muy frecuente,Muy bueno,Muchas personas?,Muy activamente?,Muy buena,Gran valor,Muy a menudo,Siempre,Completamente,Mucho,Mucho,Nunca,Nunca,Mucho,A veces,Moderadamente,NA,3,NA,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,1,1,58
01u2u0ova7,No,NA,Mucho,Mucho gozo,Mucho,Muy buena,Frecuentemente,Justo,Muchas personas?,Muy activamente?,Muy buena,Gran valor,Muy a menudo,La mayor parte del tiempo,Moderadamente,Mucho,Moderadamente,A veces,A veces,Moderadamente,A veces,Muchísimo,NA,NA,3,3,3,3,2,1,3,3,3,3,3,2,2,3,2,2,2,2,2,3,1,1,50
029bvazwec,No,NA,Poco,Algo de gozo,Mucho,Justa,Frecuentemente,Justo,Algunas personas?,Moderadamente?,Buena,Algún valor,A menudo,La mayor parte del tiempo,Moderadamente,Mucho,Moderadamente,A veces,A veces,Moderadamente,A veces,Moderadamente,NA,NA,1,2,3,1,2,1,2,2,2,2,2,2,2,3,2,2,2,2,2,2,1,1,39
03o86ert7y,Si,Mucho,NA,Mucho gozo,Mucho,Buena,Frecuentemente,Bueno,Algunas personas?,Activamente?,Muy buena,Gran valor,Muy a menudo,Siempre,Levemente,Moderadamente,Moderadamente,A veces,A veces,Moderadamente,Nunca,Muchísimo,NA,3,NA,3,3,2,2,2,2,2,3,3,3,3,1,2,2,2,2,2,3,3,1,1,48
066366627,No,NA,Medianamente,Algo de gozo,Medianamente,Justa,Frecuentemente,Bueno,Pocas personas?,Moderadamente?,Justa,Gran valor,Raramente,Raramente,Para nada,Mucho,Moderadamente,A veces,A menudo,Mucho,A veces,No mucho,NA,NA,2,2,2,1,2,2,1,2,1,3,1,1,0,3,2,2,1,3,2,1,1,1,34
0797nohsn7,Si,Medianamente,NA,Algo de gozo,Mucho,Justa,Frecuentemente,Bueno,Algunas personas?,Activamente?,Buena,Gran valor,A menudo,Siempre,Moderadamente,Mucho,Mucho,A veces,A veces,Moderadamente,A menudo,Moderadamente,NA,2,NA,2,3,1,2,2,2,2,2,3,2,3,2,3,3,2,2,2,1,2,1,1,43
07nusxprzu,No,NA,Medianamente,Algo de gozo,Mucho,Buena,Muy frecuente,Muy bueno,Algunas personas?,Activamente?,Buena,Gran valor,A menudo,La mayor parte del tiempo,Moderadamente,Moderadamente,Moderadamente,A veces,A veces,Moderadamente,Nunca,Moderadamente,NA,NA,2,2,3,2,3,3,2,2,2,3,2,2,2,2,2,2,2,2,3,2,1,1,45
083gwyuju4,Si,Medianamente,NA,Algo de gozo,Mucho,Buena,Muy frecuente,Muy bueno,Algunas personas?,Activamente?,Muy buena,Gran valor,A menudo,La mayor parte del tiempo,Levemente,Mucho,Mucho,A menudo,A menudo,No mucho,Nunca,Moderadamente,NA,2,NA,2,3,2,3,3,2,2,3,3,2,2,1,3,3,1,1,1,3,2,1,1,44
097nsptf9p,Si,Mucho,NA,Mucho gozo,Mucho,Buena,Muy frecuente,Bueno,Algunas personas?,Activamente?,Muy buena,Gran valor,A menudo,Siempre,Completamente,Mucho,Moderadamente,A veces,Nunca,Moderadamente,A menudo,Moderadamente,NA,3,NA,3,3,2,3,2,2,2,3,3,2,3,3,3,2,2,3,2,1,2,1,1,49
0azsjnjv8h,Si,Medianamente,NA,Algo de gozo,Mucho,Buena,Muy frecuente,Bueno,Algunas personas?,Muy activamente?,Muy buena,Gran valor,A menudo,Siempre,Moderadamente,Mucho,Moderadamente,A menudo,A veces,Mucho,A veces,Moderadamente,NA,2,NA,2,3,2,3,2,2,3,3,3,2,3,2,3,2,1,2,3,2,2,1,1,47
0e57w4jo5l,Si,Mucho,NA,Mucho gozo,Mucho,Justa,Frecuentemente,Bueno,Algunas personas?,Activamente?,Buena,Gran valor,A menudo,Siempre,Moderadamente,Moderadamente,Moderadamente,A menudo,A veces,Moderadamente,A menudo,Moderadamente,NA,3,NA,3,3,1,2,2,2,2,2,3,2,3,2,2,2,1,2,2,1,2,1,1,42
0g4bzzufl5,Si,Medianamente,NA,Algo de gozo,Medianamente,Insatisfactoria,Muy frecuente,Bueno,Pocas personas?,Moderadamente?,Buena,Gran valor,A menudo,La mayor parte del tiempo,Para nada,No mucho,Moderadamente,Siempre,A veces,Mucho,Nunca,Moderadamente,NA,2,NA,2,2,0,3,2,1,2,2,3,2,2,0,1,2,0,2,3,3,2,1,1,36
0gp37ea8qk,Si,Medianamente,NA,Algo de gozo,Mucho,Muy buena,Muy frecuente,Muy bueno,Algunas personas?,Moderadamente?,Buena,Gran valor,A menudo,Siempre,Moderadamente,Moderadamente,Mucho,A veces,Nunca,Moderadamente,A veces,Muchísimo,NA,2,NA,2,3,3,3,3,2,2,2,3,2,3,2,2,3,2,3,2,2,3,1,1,49
