id_old,DEMOGR3_01_DIR,DEMOGR3_02_DIR,ROW,id
15,18,0,1,948867510
4,18,0,2,953337349
14,18,1,1,968119664
21,18,1,2,942891061
21,18,1,3,950123866
39,19,0,1,976081379
40,19,0,2,974034193
15,19,0,3,968421188
19,19,0,4,973658872
20,19,0,5,967665449
7,19,0,6,e55neqglsc
11,19,1,1,978716998
5,19,1,2,954118466
9,19,1,3,3mmj9860tp
6,20,0,1,963108434
2,20,0,2,966999580
2,20,0,3,988110184
16,20,0,4,953708161
6,20,1,1,961399368
7,20,1,2,epe9h57e37
10,20,1,3,wwoetkbxr4
8,20,1,4,twbme7t334
5,21,0,1,976495225
2,21,0,2,954117943
14,21,0,3,985481418
34,21,0,4,974119745
30,21,0,5,956694633
18,21,0,6,993456343
2,21,0,7,977676965
7,21,1,1,966611630
3,21,1,2,98375947
18,21,1,3,988340281
3,22,0,1,965155738
1,22,0,2,942948277
10,22,0,3,954219968
3,22,0,4,982808635
9,22,1,1,991312098
2,22,1,2,966684403
2,22,1,3,979555498
3,22,1,4,978770166
13,22,1,5,973397482
19,22,1,6,edah4wd5e0
11,23,0,1,974532806
1,23,0,2,964496134
21,23,0,3,985295688
4,23,0,4,965289303
36,23,0,5,992196864
8,23,1,1,983225150
28,23,1,2,971448209
14,23,1,3,997498873
10,24,0,1,971085541
1,24,0,2,990748443
32,24,1,1,977087119
25,24,1,2,965637951
7,24,1,3,982896804
27,24,1,4,956894391
15,25,0,1,983159870
1,25,0,2,982642174
11,25,0,3,996369540
13,25,0,4,967766396
35,25,0,5,978796499
16,25,0,6,973877425
31,25,0,7,976605973
23,25,1,1,94115946
16,25,1,2,971085234
13,25,1,3,979597551
22,25,1,4,otb1zejyn3
16,25,1,5,vvqcfzvud7
17,26,0,1,987304721
37,26,0,2,983399462
12,26,1,1,991803002
32,26,1,2,997121749
30,26,1,3,957895469
29,26,1,4,997451724
8,26,1,5,966721610
14,26,1,6,992187944
25,26,1,7,awlgk55auv
17,27,0,1,976236863
24,27,0,2,978649443
5,27,0,3,987308145
20,27,0,4,974992656
3,27,0,5,986846292
24,27,1,1,974831797
22,27,1,2,976171014
6,28,0,1,988385245
33,28,0,2,993096569
38,28,0,3,977958040
23,28,0,4,985274725
33,28,0,5,946534499
9,28,0,6,982990259
24,28,0,7,994081964
27,28,0,8,975484098
9,28,0,9,988563124
7,28,1,1,979666528
33,28,1,2,956354886
8,29,0,1,963014846
8,29,0,2,976495720
5,29,0,3,999093093
22,29,0,4,966249306
7,29,0,5,979875126
17,29,0,6,936834132
16,29,0,7,938781309
19,29,1,1,968051734
9,29,1,2,954073071
42,29,1,3,988278630
17,29,1,4,984399547
17,29,1,5,gjj972bkls
25,30,0,1,951328633
4,30,0,2,934447513
26,30,0,3,995556628
6,30,0,4,998368437
15,30,0,5,qcfbpas232
28,30,1,1,997364441
19,30,1,2,0umgeoryw9
13,30,1,3,n0s6km3dmv
43,30,1,4,evcd8au9dx
10,31,0,1,942616164
23,31,0,2,940830266
20,31,1,1,998143054
29,31,1,2,ynf4abyh7g
57,31,1,3,10tuv9y1t0
47,31,1,4,x882ee4b3t
58,31,1,5,5zqneztnb5
22,31,1,6,mr175jw51m
2,32,0,1,977646231
29,32,0,2,996426677
21,32,0,3,911111111
26,32,0,4,958188977
23,32,0,5,3zdt3bh6qx
13,32,0,6,tdbr76szdw
11,32,0,7,l2mfqvnn1o
21,32,1,1,936717051
60,32,1,2,xbgrhkg8jb
18,33,0,1,labhye3w0t
28,33,0,2,ja6s8ek1ss
24,33,0,3,u7q14tfj7f
6,33,0,4,0w6ssflgwx
12,33,0,5,optntelnb5
1,33,0,6,0gp37ea8qk
46,33,1,1,5mdboqub11
9,33,1,2,5s9fd2uwmb
45,33,1,3,vwahqa41n7
15,34,0,1,991297732
11,34,0,2,1hhe7yntyv
10,34,0,3,8hegp48hkm
25,34,1,1,pp9bkqh6jm
12,34,1,2,vhxl04j163
35,34,1,3,9e42sk7uwx
61,34,1,4,rod5uc43mx
4,35,0,1,73516375
8,35,0,2,961066479
56,35,1,1,961556598
45,35,1,2,984128897
42,35,1,3,r4138fqfmu
53,35,1,4,y0ebes4v5h
39,35,1,5,nwfhqlao59
14,36,0,1,7523bteq4w
5,36,0,2,39k1lsmzo9
7,36,0,3,5qu3gam1mn
6,36,0,4,7xw0g7kx2n
26,36,0,5,cu389mbfxe
32,36,0,6,k6un21dbwh
14,36,0,7,0ugjce64oo
41,36,0,8,smu7jxvhmq
21,36,0,9,7u7sa47h79
10,36,0,10,bqt4a3fr76
16,36,0,11,f4b5u91mw4
4,36,1,1,962091361
32,36,1,2,989009126
17,36,1,3,lortfmjfk7
16,37,0,1,954112980
8,37,0,2,999540975
11,37,0,3,d1wdaer3c5
33,37,0,4,qvgf7z63yl
20,37,0,5,cfkly9zxv2
27,37,0,6,kanldppa7d
37,37,1,1,999732875
1,37,1,2,35j26vl9w3
50,37,1,3,yp8ddx9u7n
23,37,1,4,1x9db0w61z
65,37,1,5,f86g2rzrny
29,37,1,6,x85ykvu95z
67,37,1,7,52sdo4ywuc
48,37,1,8,0o7nzb18js
3,38,0,1,984839717
52,38,0,2,lxctvu1c02
20,38,1,1,959582656
41,38,1,2,jvbwzn1ws5
59,38,1,3,mpw7pg3rjp
64,38,1,4,bl23a37lc5
26,38,1,5,4tangf5m2x
51,39,0,1,98efkex461
14,39,0,2,jvjgudxhbt
18,39,0,3,aux5emxvcs
19,39,0,4,q5lgt17z4q
40,39,1,1,976245978
24,39,1,2,650415rgao
27,40,0,1,985051874
19,40,0,2,yp5pz8t1dn
9,40,0,3,rsagyl1j80
15,40,0,4,a7gqlr06rl
27,40,1,1,966667779
18,41,0,1,987750595
5,41,0,2,1xve144yu5
24,41,0,3,pso9smx1dp
13,41,0,4,wgy641oo43
22,41,0,5,1x4vwsfod5
20,42,0,1,978090680
12,42,0,2,967283891
20,42,1,1,48d0zwqrrz
30,42,1,2,23w4opw8wn
4,43,0,1,938913641
12,43,0,2,d2s2l3na16
31,43,0,3,kznlgmq81a
12,43,0,4,ozu3042edl
36,43,1,1,jq4uuryace
49,43,1,2,ymu2qajqad
63,43,1,3,r5p7zvjjhe
34,43,1,4,6l3wnmfvn0
17,44,0,1,957396862
10,44,0,2,kpxwk6062v
21,44,0,3,cv962bvx5t
46,44,0,4,duzqp3a9ce
48,44,0,5,m2rwlv1o7r
11,44,0,6,8yhxs4w7er
30,44,1,1,gh8km2pc07
26,44,1,2,qxcbz4nyud
62,44,1,3,7zqhmbexsk
44,44,1,4,01ek6pnb5d
12,45,0,1,g0wo5ajk5b
31,45,0,2,ztruparwow
5,45,0,3,xgzevdqq5g
28,45,0,4,kvatpcvwxf
28,45,0,5,1ga2040svz
22,45,1,1,6ckerhy17c
30,45,1,2,wvrpqja021
25,45,1,3,v2uald4p4j
23,45,1,4,nlg5kmqtj8
47,46,0,1,973887671
29,46,0,2,5dq4cq8cb9
54,46,1,1,cr0j272mz4
55,46,1,2,1dzba3pc63
38,46,1,3,wvnyykf2cl
