id,PSS_01_RAW,PSS_02_RAW,PSS_03_RAW,PSS_04_RAW,PSS_05_RAW,PSS_06_RAW,PSS_07_RAW,PSS_08_RAW,PSS_09_RAW,PSS_10_RAW,PSS_11_RAW,PSS_12_RAW,PSS_13_RAW,PSS_14_RAW,PSS_01_DIR,PSS_02_DIR,PSS_03_DIR,PSS_04_DIR,PSS_05_DIR,PSS_06_DIR,PSS_07_DIR,PSS_08_DIR,PSS_09_DIR,PSS_10_DIR,PSS_11_DIR,PSS_12_DIR,PSS_13_DIR,PSS_14_DIR,PSS_RAW_NA,PSS_DIR_NA,PSS_DIRt
0057227z4v,Muy a menudo,De vez en cuando,A menudo,De vez en cuando,A menudo,Casi nunca,De vez en cuando,A menudo,A menudo,Casi nunca,A menudo,A menudo,A menudo,De vez en cuando,4,2,3,2,1,3,2,3,1,3,3,3,1,2,0,0,33
01ek6pnb5d,Nunca,Nunca,De vez en cuando,Casi nunca,Nunca,Muy a menudo,Muy a menudo,Casi nunca,Muy a menudo,Muy a menudo,Casi nunca,Muy a menudo,Muy a menudo,Nunca,0,0,2,3,4,0,0,1,0,0,1,4,0,0,0,0,15
01u2u0ova7,Casi nunca,Casi nunca,De vez en cuando,A menudo,A menudo,Muy a menudo,Muy a menudo,Casi nunca,A menudo,De vez en cuando,Nunca,Muy a menudo,A menudo,Casi nunca,1,1,2,1,1,0,0,1,1,2,0,4,1,1,0,0,16
029bvazwec,A menudo,De vez en cuando,Muy a menudo,De vez en cuando,A menudo,A menudo,De vez en cuando,De vez en cuando,De vez en cuando,Casi nunca,De vez en cuando,A menudo,De vez en cuando,De vez en cuando,3,2,4,2,1,1,2,2,2,3,2,3,2,2,0,0,31
03o86ert7y,Muy a menudo,A menudo,Muy a menudo,De vez en cuando,A menudo,A menudo,De vez en cuando,De vez en cuando,De vez en cuando,De vez en cuando,A menudo,Muy a menudo,De vez en cuando,A menudo,4,3,4,2,1,1,2,2,2,2,3,4,2,3,0,0,35
066366627,Muy a menudo,Muy a menudo,Muy a menudo,De vez en cuando,De vez en cuando,Casi nunca,De vez en cuando,Muy a menudo,De vez en cuando,Casi nunca,Muy a menudo,A menudo,De vez en cuando,Muy a menudo,4,4,4,2,2,3,2,4,2,3,4,3,2,4,0,0,43
0797nohsn7,A menudo,De vez en cuando,De vez en cuando,A menudo,A menudo,A menudo,De vez en cuando,Casi nunca,De vez en cuando,De vez en cuando,Muy a menudo,Muy a menudo,Casi nunca,A menudo,3,2,2,1,1,1,2,1,2,2,4,4,3,3,0,0,31
07nusxprzu,De vez en cuando,Casi nunca,De vez en cuando,A menudo,A menudo,De vez en cuando,A menudo,De vez en cuando,De vez en cuando,Nunca,Casi nunca,A menudo,De vez en cuando,Casi nunca,2,1,2,1,1,2,1,2,2,4,1,3,2,1,0,0,25
083gwyuju4,De vez en cuando,Casi nunca,Muy a menudo,A menudo,Muy a menudo,De vez en cuando,Muy a menudo,De vez en cuando,A menudo,Casi nunca,Casi nunca,De vez en cuando,Casi nunca,Nunca,2,1,4,1,0,2,0,2,1,3,1,2,3,0,0,0,22
097nsptf9p,Casi nunca,Casi nunca,De vez en cuando,De vez en cuando,A menudo,De vez en cuando,A menudo,De vez en cuando,A menudo,De vez en cuando,De vez en cuando,De vez en cuando,A menudo,Casi nunca,1,1,2,2,1,2,1,2,1,2,2,2,1,1,0,0,21
