experimento,short_name: from trialid
AIM,AIM
COVIDCONTROL,COVIDCONTROL
EAR,EAR
OTRASRELIG,OTRASRELIG
PSS,PSS
SASS,SASS
SCSORF,SCSORF
Consent,Consent
