id,AIM_TramoIngreso_DIRd,AIM_DIRt,EAR_DIRt,PSS_DIRt,SASS_DIRt,SCSORF_DIRt
0057227z4v,7,ab,23,33,39,10
01ek6pnb5d,5,c1a,40,15,58,13
01u2u0ova7,7,ab,27,16,50,15
029bvazwec,7,ab,31,31,39,11
03o86ert7y,7,ab,38,35,48,19
066366627,2,d,20,43,34,20
0797nohsn7,6,c1a,25,31,43,34
07nusxprzu,6,c1a,28,25,45,36
083gwyuju4,7,ab,33,22,44,30
097nsptf9p,5,c1a,29,21,49,34
0azsjnjv8h,1,e,34,25,47,30
0e57w4jo5l,4,c1b,28,NA,42,34
0g4bzzufl5,6,c1a,29,31,36,28
0gp37ea8qk,6,c1a,40,16,49,40
0h5cls6t7u,6,c1a,18,45,28,12
0hmlz4cl4e,99,NA,27,26,38,33
0lnc7qx6fp,7,c1a,30,21,46,30
0n2op4qlkl,6,c1a,31,17,51,12
0nde7p22d3,6,c2,38,7,53,11
0o7nzb18js,6,c1b,36,12,44,14
0q858l7tbk,2,c3,24,38,33,23
0rno3uzl0e,6,c1a,33,29,48,25
0ruvm5180t,4,c1b,26,NA,42,25
0ugjce64oo,4,c2,32,20,42,23
0umgeoryw9,7,ab,26,19,41,34
0vaavp49xk,3,c2,29,36,46,23
0w6ssflgwx,4,c2,23,37,37,21
0xzmpra3r8,6,c1a,31,32,38,35
0y5a1124sk,4,c1b,35,33,43,11
10tuv9y1t0,6,c1b,29,33,42,24
12coelxoyj,6,c1a,35,28,47,26
14385229586,7,ab,38,23,40,10
1524o39vgp,6,c1a,30,23,47,23
17ugds2jor,1,e,24,31,38,26
1dzba3pc63,5,c1b,37,10,45,28
1ga2040svz,6,c1a,35,13,54,21
1gcex58vx8,2,d,33,30,44,10
1hhe7yntyv,4,c2,28,29,37,19
1hlrbn3y6q,5,c1b,37,14,50,23
1kjpr4ot26,4,c1b,25,26,45,32
1m9z8gvdsh,99,NA,31,23,44,14
1n2lmcj5gy,6,c1a,38,16,51,29
1oyezntv2a,5,c1a,35,23,38,23
1qbzp3w53m,3,c3,32,19,40,11
1sqqbqv2x2,7,ab,28,22,45,25
1x4vwsfod5,7,ab,27,40,45,28
1x9db0w61z,6,c1a,33,28,51,38
1xk2lhu5l7,7,ab,31,NA,NA,20
1xve144yu5,6,c1a,37,10,57,39
1xwvchz9vj,6,c1a,38,24,43,26
1ymttk9xtv,1,c3,40,14,50,10
1z6o9xoot7,7,ab,27,NA,NA,40
208042777,1,e,29,21,42,28
20gnbzdlkj,7,ab,32,20,46,11
211j73oyq4,5,c1a,30,NA,42,29
2154snqwnc,4,c1b,29,17,44,37
21zcr2l3us,4,c1b,23,31,40,13
