id,AIM_01_RAW,AIM_02_RAW,AIM_03_RAW,AIM_04_RAW,AIM_05_RAW,AIM_06_RAW,AIM_07_RAW,AIM_08_RAW,AIM_09_RAW,AIM_10_RAW,AIM_01_DIR,AIM_02_DIR,AIM_03_DIR,AIM_04_DIR,AIM_05_DIR,AIM_06_DIR,AIM_07_DIR,AIM_08_DIR,AIM_09_DIR,AIM_10_DIR,AIM_RAW_NA,AIM_DIR_NA,AIM_TramoIngreso_DIRd,AIM_DIRt
0057227z4v,Universitaria completa (carreras de 4 o más años); oficial de FFAA y Carabineros.,"Alto ejecutivo (gerente general o gerente de área o sector) de empresa privadas o pública- Director o dueño de grandes empresa- Alto directivo del poder ejecutivo, de los cuerpos legislativos y la administración pública (incluye oficiales de FFAA y Carabineros).",5,NA,NA,NA,NA,Más de 5.912.000,NA,NA,9,9,5,NA,NA,NA,NA,7,NA,NA,6,6,7,ab
01ek6pnb5d,Universitaria completa (carreras de 4 o más años); oficial de FFAA y Carabineros.,"Alto ejecutivo (gerente general o gerente de área o sector) de empresa privadas o pública- Director o dueño de grandes empresa- Alto directivo del poder ejecutivo, de los cuerpos legislativos y la administración pública (incluye oficiales de FFAA y Carabineros).",6,NA,NA,NA,NA,NA,2.208.000 – 3.850.000,NA,9,9,6,NA,NA,NA,NA,NA,5,NA,6,6,5,c1a
01u2u0ova7,"Postgrado (postítulo, master, magíster, doctor).","Alto ejecutivo (gerente general o gerente de área o sector) de empresa privadas o pública- Director o dueño de grandes empresa- Alto directivo del poder ejecutivo, de los cuerpos legislativos y la administración pública (incluye oficiales de FFAA y Carabineros).",3,NA,NA,Más de 4.135.000,NA,NA,NA,NA,10,9,3,NA,NA,7,NA,NA,NA,NA,6,6,7,ab
029bvazwec,Universitaria completa (carreras de 4 o más años); oficial de FFAA y Carabineros.,"Alto ejecutivo (gerente general o gerente de área o sector) de empresa privadas o pública- Director o dueño de grandes empresa- Alto directivo del poder ejecutivo, de los cuerpos legislativos y la administración pública (incluye oficiales de FFAA y Carabineros).",7,NA,NA,NA,NA,NA,NA,Más de 7.482.000,9,9,7,NA,NA,NA,NA,NA,NA,7,6,6,7,ab
03o86ert7y,"Postgrado (postítulo, master, magíster, doctor).","Profesionales, científicos e intelectuales.",2,NA,Más de 3.113.000,NA,NA,NA,NA,NA,10,8,2,NA,7,NA,NA,NA,NA,NA,6,6,7,ab
066366627,Media científico humanista o media técnico profesional completa; humanidades completas.,"Trabajadores no calificados en ventas y servicios, peones agropecuarios, forestales, construcción, etc.",4,NA,NA,NA,314 mil – 546 mil,NA,NA,NA,5,1,4,NA,NA,NA,2,NA,NA,NA,6,6,2,d
0797nohsn7,"Postgrado (postítulo, master, magíster, doctor).","Profesionales, científicos e intelectuales.",2,NA,1.786.000 – 3.113.000,NA,NA,NA,NA,NA,10,8,2,NA,6,NA,NA,NA,NA,NA,6,6,6,c1a
07nusxprzu,"Postgrado (postítulo, master, magíster, doctor).","Alto ejecutivo (gerente general o gerente de área o sector) de empresa privadas o pública- Director o dueño de grandes empresa- Alto directivo del poder ejecutivo, de los cuerpos legislativos y la administración pública (incluye oficiales de FFAA y Carabineros).",8,NA,NA,NA,NA,NA,NA,4.290.000 – 7.482.000,10,9,7,NA,NA,NA,NA,NA,NA,6,6,6,6,c1a
083gwyuju4,"Postgrado (postítulo, master, magíster, doctor).","Profesionales, científicos e intelectuales.",1,Más de 1.916.000,NA,NA,NA,NA,NA,NA,10,8,1,7,NA,NA,NA,NA,NA,NA,6,6,7,ab
097nsptf9p,"Postgrado (postítulo, master, magíster, doctor).","Profesionales, científicos e intelectuales.",3,NA,NA,1.360.000 – 2.370.000,NA,NA,NA,NA,10,8,3,NA,NA,5,NA,NA,NA,NA,6,6,5,c1a
0azsjnjv8h,Básica completa; primaria o preparatoria completa.,Trabajadores de los servicios y vendedores de comercio y mercados.,5,NA,NA,NA,NA,Menos de 367 mil,NA,NA,3,3,5,NA,NA,NA,NA,1,NA,NA,6,6,1,e
0e57w4jo5l,Universitaria completa (carreras de 4 o más años); oficial de FFAA y Carabineros.,"Profesionales, científicos e intelectuales.",3,NA,NA,780 mil – 1.359.000,NA,NA,NA,NA,9,8,3,NA,NA,4,NA,NA,NA,NA,6,6,4,c1b
0g4bzzufl5,"Postgrado (postítulo, master, magíster, doctor).","Profesionales, científicos e intelectuales.",4,NA,NA,NA,2.900.000 – 5.057.000,NA,NA,NA,10,8,4,NA,NA,NA,6,NA,NA,NA,6,6,6,c1a
0gp37ea8qk,"Postgrado (postítulo, master, magíster, doctor).","Profesionales, científicos e intelectuales.",3,NA,NA,2.371.000 – 4.135.000,NA,NA,NA,NA,10,8,3,NA,NA,6,NA,NA,NA,NA,6,6,6,c1a
0h5cls6t7u,Instituto técnico (CFT) o instituto profesional completo (carreras de 1 a 3 años); hasta suboficial de FFAA y Carabineros.,"Alto ejecutivo (gerente general o gerente de área o sector) de empresa privadas o pública- Director o dueño de grandes empresa- Alto directivo del poder ejecutivo, de los cuerpos legislativos y la administración pública (incluye oficiales de FFAA y Carabineros).",4,NA,NA,NA,2.900.000 – 5.057.000,NA,NA,NA,7,9,4,NA,NA,NA,6,NA,NA,NA,6,6,6,c1a
0hmlz4cl4e,Universitaria incompleta (carreras de 4 o más años).,Empleados de oficina públicos y privados.,1,NS/NR,NA,NA,NA,NA,NA,NA,8,6,1,99,NA,NA,NA,NA,NA,NA,6,6,99,NA
0lnc7qx6fp,Universitaria incompleta (carreras de 4 o más años).,"Profesionales, científicos e intelectuales.",1,Más de 1.916.000,NA,NA,NA,NA,NA,NA,8,8,1,7,NA,NA,NA,NA,NA,NA,6,6,7,c1a
0n2op4qlkl,"Postgrado (postítulo, master, magíster, doctor).","Profesionales, científicos e intelectuales.",2,NA,1.786.000 – 3.113.000,NA,NA,NA,NA,NA,10,8,2,NA,6,NA,NA,NA,NA,NA,6,6,6,c1a
0nde7p22d3,Media científico humanista o media técnico profesional completa; humanidades completas.,"Otros grupos no identificados (incluye rentistas, personas en situación de discapacidad, etc.)",3,NA,NA,2.371.000 – 4.135.000,NA,NA,NA,NA,5,10,3,NA,NA,6,NA,NA,NA,NA,6,6,6,c2
0o7nzb18js,Universitaria completa (carreras de 4 o más años); oficial de FFAA y Carabineros.,Agricultores y trabajadores calificados agropecuarios y pesqueros.,3,NA,NA,2.371.000 – 4.135.000,NA,NA,NA,NA,9,4,3,NA,NA,6,NA,NA,NA,NA,6,6,6,c1b
0q858l7tbk,Universitaria completa (carreras de 4 o más años); oficial de FFAA y Carabineros.,"Profesionales, científicos e intelectuales.",4,NA,NA,NA,314 mil – 546 mil,NA,NA,NA,9,8,4,NA,NA,NA,2,NA,NA,NA,6,6,2,c3
0rno3uzl0e,Universitaria completa (carreras de 4 o más años); oficial de FFAA y Carabineros.,"Profesionales, científicos e intelectuales.",2,NA,1.786.000 – 3.113.000,NA,NA,NA,NA,NA,9,8,2,NA,6,NA,NA,NA,NA,NA,6,6,6,c1a
0ruvm5180t,Universitaria completa (carreras de 4 o más años); oficial de FFAA y Carabineros.,"Profesionales, científicos e intelectuales.",3,NA,NA,780 mil – 1.359.000,NA,NA,NA,NA,9,8,3,NA,NA,4,NA,NA,NA,NA,6,6,4,c1b
0ugjce64oo,Universitaria completa (carreras de 4 o más años); oficial de FFAA y Carabineros.,Trabajadores de los servicios y vendedores de comercio y mercados.,2,NA,587 mil – 1.023.000,NA,NA,NA,NA,NA,9,3,2,NA,4,NA,NA,NA,NA,NA,6,6,4,c2
